,date,Open,High,Low,Close
770,2025-02-12,1885.0,1894.6,1847.0,1863.15
771,2025-02-13,1868.5,1873.5,1835.65,1843.25
772,2025-02-14,1854.0,1859.3,1828.35,1856.4
773,2025-02-17,1838.55,1852.75,1822.15,1842.3
774,2025-02-18,1842.3,1861.65,1837.6,1851.95
775,2025-02-19,1847.4,1849.2,1805.9,1810.8
776,2025-02-20,1805.55,1831.0,1805.55,1825.15
777,2025-02-21,1821.8,1829.85,1806.2,1815.0
778,2025-02-24,1800.05,1808.0,1750.25,1764.1
779,2025-02-25,1745.15,1778.45,1745.15,1767.7
780,2025-02-27,1755.2,1775.85,1751.1,1764.3
