,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
2,37539,129872,AXISBANK,OPTSTK,2021-11-25,550,PE,0.05,0.05,0.05,0.05,0.0,1,6.6,2400,-1200,2021-11-24,684.8,1.0,134.79999999999995,154.296875,-0.002938086904693522,-0.24829358198602006,0.00016234786810466215,0.00321838769561626,135.91408710579705
3,37540,129873,AXISBANK,OPTSTK,2021-11-25,560,PE,0.0,0.0,0.0,0.4,0.0,0,0.0,1200,0,2021-11-24,684.8,1.0,124.79999999999995,183.59375,-0.01611062749804076,-1.3248571357989112,0.0006118551512830786,0.014432486245298777,132.16698161406603
4,37542,129875,AXISBANK,OPTSTK,2021-11-25,580,PE,0.0,0.0,0.0,0.4,0.0,0,0.0,1200,0,2021-11-24,684.8,1.0,104.79999999999995,156.25,-0.019141491969431573,-1.3062719050004197,0.0008328923841822924,0.01672028038400537,125.26371169148912
5,37544,129877,AXISBANK,OPTSTK,2021-11-25,600,PE,0.1,0.15,0.05,0.05,0.05,110,792.09,238800,-69600,2021-11-24,684.8,1.0,84.79999999999995,97.65625,-0.004503397074024919,-0.23053244798077738,0.00037629403335354773,0.00472130453464632,119.3596736828371
6,37546,129879,AXISBANK,OPTSTK,2021-11-25,620,PE,0.05,0.2,0.05,0.2,0.0,4,29.76,2400,-2400,2021-11-24,684.8,1.0,64.79999999999995,89.84375,-0.01628366253107967,-0.6542954117866008,0.001261808620768837,0.014565184818901719,114.79813553328329
7,37547,129880,AXISBANK,OPTSTK,2021-11-25,630,PE,0.3,0.35,0.1,0.1,0.1,67,506.69,34800,-1200,2021-11-24,684.8,1.0,54.799999999999955,70.3125,-0.011165314349445999,-0.36970597231043717,0.0011640904959584336,0.010516080990163545,113.14947112730208
8,37548,129881,AXISBANK,OPTSTK,2021-11-25,640,PE,0.5,0.55,0.05,0.1,0.1,122,937.22,214800,-49200,2021-11-24,684.8,1.0,44.799999999999955,54.6875,-0.008704492313933838,-0.23136103885721762,0.0012042299986329357,0.008461203706778242,111.98967402894631
9,37549,129882,AXISBANK,OPTSTK,2021-11-25,650,PE,0.55,0.7,0.1,0.2,0.2,500,3901.58,422400,-115200,2021-11-24,684.8,1.0,34.799999999999955,50.78125,-0.02410852358291479,-0.5159461438691025,0.0031145331213604972,0.02032034043546004,111.3572364263061
10,37550,129883,AXISBANK,OPTSTK,2021-11-25,660,PE,0.8,0.9,0.25,0.35,0.35,462,3661.07,190800,-34800,2021-11-24,684.8,1.0,24.799999999999955,43.701171875,-0.052183979197057535,-0.835729259780027,0.006812002494225073,0.038247453050938435,111.2715861256695
11,37551,129884,AXISBANK,OPTSTK,2021-11-25,670,PE,1.8,1.8,0.4,0.8,0.8,1040,8371.46,244800,-74400,2021-11-24,684.8,1.0,14.799999999999955,36.1328125,-0.12206759136687889,-1.3110724174152477,0.01563214240270435,0.07256963002341693,111.72748121354692
