gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1487,20141231,2014,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,515581,,,29199,,408309,,,A,
1487,20141231,2014,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,515581,77.6916,1375.927,29199,,408309,63004,,A,
1487,20151231,2015,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,496943,,,29350,,406733,,,A,
1487,20151231,2015,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,496943,75.0957,1193.917,29350,,406733,57817,,A,
1487,20161231,2016,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,498264,,,30177,,421406,,,A,
1487,20161231,2016,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,498264,76.6575,995.336,30177,,421406,53549,,A,
1487,20171231,2017,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,498301,,,30907,,432593,,,A,53565.1011
1487,20171231,2017,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,498301,72.4891,899.045,31450,,432593,49004,,A,53565.1011
1487,20181231,2018,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,491984,,,34425,,434675,,,A,34153.0607
1487,20181231,2018,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,491984,65.0363,866.609,34425,,434675,47560,,A,34153.0607
1487,20191231,2019,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,525064,,,36083,,457637,,,A,44657.0487
1487,20191231,2019,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,525064,74.9139,869.999,36083,,457637,49310,,A,44657.0487
1598,20101231,2010,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,3818.915,11.0461,160.709,1071.36,575.41,2043.711,2470.952,423.633,A,6307.8283
1598,20111231,2011,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,4319.49,12.8003,160.372,1123.416,597.349,2266.685,2989.914,430.244,A,6751.6612
1598,20121231,2012,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,5190.056,10.4158,243.395,1133.121,596.4,2654.905,3334.213,284.774,A,9144.3502
1598,20131231,2013,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,5877.902,12.8002,245.006,1141.75,641.507,2741.781,3594.136,494.584,A,12904.466
1598,20141231,2014,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,6420.963,13.4235,241.335,1427.825,664.81,3181.402,4021.964,642.46,A,12701.4611
1598,20151231,2015,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,6664.53,13.8192,235.515,1556.045,700.063,3409.904,3974.295,594.441,A,12621.2489
1598,20161231,2016,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,7100.674,14.1971,229.379,2062.644,691.217,3844.161,3840.087,1003.749,A,11147.8194
1598,20171231,2017,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,7796.064,17.421,231.194,1866.166,767.972,3768.431,4300.17,795.992,A,16754.6292
1598,20181231,2018,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,8662.288,18.6777,227.111,2273.837,825.233,4420.366,4845.872,577.44,A,15375.4147
1598,20191231,2019,INDL,C,D,STD,AME,31100100,AMETEK INC,USD,9844.559,22.3303,229.083,2413.912,855.142,4729.067,5158.557,599.913,A,22848.7384
